GEOID,POP,POP_MOE,OBJECTID,GEO,NAME,DATE,DOSE_ONE_TOTAL,DOSE_COMPLETE_TOTAL,DOSE_ONE_PERC,DOSE_COMPLETE_PERC,ShapeSTArea,ShapeSTLength
55001,20498,,2,County,Adams County,2022/04/08 19:00:00+00,11093,10584,54.1,51.6,3438449807,287039.2367
55003,15415,,3,County,Ashland County,2022/04/08 19:00:00+00,11040,10525,71.6,68.3,5727268628,770460.6605
55005,45090,,4,County,Barron County,2022/04/08 19:00:00+00,25009,23973,55.5,53.2,4677777582,273518.6631
55007,15242,,5,County,Bayfield County,2022/04/08 19:00:00+00,11310,10673,74.2,70,8273016942,516531.0497
55009,264610,,6,County,Brown County,2022/04/08 19:00:00+00,173698,166416,65.6,62.9,2721387259,331857.0508
55011,13033,,7,County,Buffalo County,2022/04/08 19:00:00+00,8154,7873,62.6,60.4,3597712791,297407.6826
55013,15557,,8,County,Burnett County,2022/04/08 19:00:00+00,8807,8314,56.6,53.4,4697324771,366429.9624
55015,50209,,9,County,Calumet County,2022/04/08 19:00:00+00,28577,27466,56.9,54.7,1993435150,189266.428
55017,64737,,10,County,Chippewa County,2022/04/08 19:00:00+00,37494,36068,57.9,55.7,5406849246,303010.4787
55019,34720,,11,County,Clark County,2022/04/08 19:00:00+00,13173,12676,37.9,36.5,6255341805,326265.466
55021,57668,,12,County,Columbia County,2022/04/08 19:00:00+00,39110,37395,67.8,64.8,3915273409,306650.9049
55023,16021,,13,County,Crawford County,2022/04/08 19:00:00+00,9391,9009,58.6,56.2,2924582957,249753.8294
55025,552536,,14,County,Dane County,2022/04/08 19:00:00+00,458357,434064,83,78.6,6008234736,317640.1214
55027,87336,,15,County,Dodge County,2022/04/08 19:00:00+00,45905,43887,52.6,50.3,4454479279,269209.7796
55029,27889,,16,County,Door County,2022/04/08 19:00:00+00,21923,20764,78.6,74.5,2521368817,677955.0263
55031,43702,,17,County,Douglas County,2022/04/08 19:00:00+00,29424,27539,67.3,63,7316905731,374792.7546
55033,45452,,18,County,Dunn County,2022/04/08 19:00:00+00,23059,22056,50.7,48.5,4466794838,277720.5791
55035,105260,,19,County,Eau Claire County,2022/04/08 19:00:00+00,66627,63996,63.3,60.8,3310809449,243677.8075
55037,4298,,20,County,Florence County,2022/04/08 19:00:00+00,2263,2147,52.7,50,2653589284,265968.7491
55039,102902,,21,County,Fond du Lac County,2022/04/08 19:00:00+00,57378,54743,55.8,53.2,3802861865,283003.6921
55041,8960,,22,County,Forest County,2022/04/08 19:00:00+00,4717,4485,52.6,50.1,5548910036,367390.0443
55043,51021,,23,County,Grant County,2022/04/08 19:00:00+00,26068,24648,51.1,48.3,5694522990,337205.7949
55045,36603,,24,County,Green County,2022/04/08 19:00:00+00,23744,22888,64.9,62.5,2802746927,212054.0429
55047,18908,,25,County,Green Lake County,2022/04/08 19:00:00+00,10836,10323,57.3,54.6,1890481766,197190.5376
55049,23640,,26,County,Iowa County,2022/04/08 19:00:00+00,16605,15955,70.2,67.5,3720940924,261542.1412
55051,5698,,27,County,Iron County,2022/04/08 19:00:00+00,3782,3603,66.4,63.2,4347466103,350332.0645
55053,20630,,28,County,Jackson County,2022/04/08 19:00:00+00,10551,10118,51.1,49,5063064808,355587.7922
55055,85038,,29,County,Jefferson County,2022/04/08 19:00:00+00,48779,46724,57.4,54.9,2825025966,212352.8014
55057,26908,,30,County,Juneau County,2022/04/08 19:00:00+00,14008,13387,52.1,49.8,4020998381,337622.5969
55059,169671,,31,County,Kenosha County,2022/04/08 19:00:00+00,99539,92673,58.7,54.6,1330533450,167453.5148
55061,20386,,32,County,Kewaunee County,2022/04/08 19:00:00+00,10732,10404,52.6,51,1752585405,181360.4382
55063,118502,,33,County,La Crosse County,2022/04/08 19:00:00+00,81736,78313,69,66.1,2395109885,223679.7739
55065,16646,,34,County,Lafayette County,2022/04/08 19:00:00+00,9724,9243,58.4,55.5,3040069326,224068.3974
55067,19119,,35,County,Langlade County,2022/04/08 19:00:00+00,10293,9876,53.8,51.7,4641061434,313904.7287
55069,27566,,36,County,Lincoln County,2022/04/08 19:00:00+00,15324,14795,55.6,53.7,4752866680,275268.9037
55071,78757,,37,County,Manitowoc County,2022/04/08 19:00:00+00,47669,45856,60.5,58.2,2994195853,237749.9803
55073,135593,,38,County,Marathon County,2022/04/08 19:00:00+00,80066,76506,59,56.4,8136851425,380326.0519
55075,40262,,39,County,Marinette County,2022/04/08 19:00:00+00,21481,20508,53.4,50.9,7503690031,552940.7721
55077,15585,,40,County,Marquette County,2022/04/08 19:00:00+00,8294,7969,53.2,51.1,2311411064,209578.0887
55078,4546,,41,County,Menominee County,2022/04/08 19:00:00+00,3660,3487,80.5,76.7,1890791658,192847.1205
55079,945016,,42,County,Milwaukee County,2022/04/08 19:00:00+00,611806,570137,64.7,60.3,1174955788,169451.9328
55081,46582,,43,County,Monroe County,2022/04/08 19:00:00+00,24411,23122,52.4,49.6,4538125145,281587.9953
55083,38383,,44,County,Oconto County,2022/04/08 19:00:00+00,20296,19587,52.9,51,5272721829,438930.7084
55085,35751,,45,County,Oneida County,2022/04/08 19:00:00+00,23488,22329,65.7,62.5,6566178134,372653.7756
55087,188766,,46,County,Outagamie County,2022/04/08 19:00:00+00,121288,116028,64.3,61.5,3272866762,229909.8366
55089,90043,,47,County,Ozaukee County,2022/04/08 19:00:00+00,63804,60624,70.9,67.3,1154501051,164208.1928
55091,7271,,48,County,Pepin County,2022/04/08 19:00:00+00,3942,3815,54.2,52.5,1269788304,219100.9201
55093,42700,,49,County,Pierce County,2022/04/08 19:00:00+00,24166,23127,56.6,54.2,3035527921,232701.8499
55095,43794,,50,County,Polk County,2022/04/08 19:00:00+00,24924,23719,56.9,54.2,5034134782,339213.2696
55097,71032,,51,County,Portage County,2022/04/08 19:00:00+00,42160,40285,59.4,56.7,4186236048,274542.2684
55099,13245,,52,County,Price County,2022/04/08 19:00:00+00,7799,7537,58.9,56.9,6780339385,333290.6317
55101,195802,,53,County,Racine County,2022/04/08 19:00:00+00,121057,114026,61.8,58.2,1636226364,185702.9986
55103,17258,,54,County,Richland County,2022/04/08 19:00:00+00,10289,9907,59.6,57.4,2889986695,230442.6446
55105,163084,,55,County,Rock County,2022/04/08 19:00:00+00,103333,97220,63.4,59.6,3480473693,236911.6431
55107,14022,,56,County,Rusk County,2022/04/08 19:00:00+00,6054,5805,43.2,41.4,4902668221,302007.7082
55109,91838,,57,County,St. Croix County,2022/04/08 19:00:00+00,58438,55706,63.6,60.7,3814789253,258501.0636
55111,64449,,58,County,Sauk County,2022/04/08 19:00:00+00,42018,40023,65.2,62.1,4171491060,298769.8049
55113,16700,,59,County,Sawyer County,2022/04/08 19:00:00+00,9691,9220,58,55.2,7214509140,360171.4611
55115,40786,,60,County,Shawano County,2022/04/08 19:00:00+00,19533,18835,47.9,46.2,4676549355,357954.8591
55117,115240,,61,County,Sheboygan County,2022/04/08 19:00:00+00,72516,69507,62.9,60.3,2567522884,201754.3347
55119,20318,,62,County,Taylor County,2022/04/08 19:00:00+00,7309,7025,36,34.6,5137786730,306881.5569
55121,29681,,63,County,Trempealeau County,2022/04/08 19:00:00+00,20594,19811,69.4,66.7,3752945298,313837.6478
55123,30861,,64,County,Vernon County,2022/04/08 19:00:00+00,17201,16600,55.7,53.8,4031951200,305596.1201
55125,22356,,65,County,Vilas County,2022/04/08 19:00:00+00,14687,13819,65.7,61.8,5471535427,360890.5545
55127,103953,,66,County,Walworth County,2022/04/08 19:00:00+00,57394,53374,55.2,51.3,2763384637,210736.5783
55129,15712,,67,County,Washburn County,2022/04/08 19:00:00+00,10336,9911,65.8,63.1,4562524359,279035.9404
55131,136445,,68,County,Washington County,2022/04/08 19:00:00+00,77933,74732,57.1,54.8,2136042605,191060.8623
